"노드링크 유형","노드 WKT","노드 ID","노드 유형 코드","링크 WKT","링크 ID","링크 유형 코드","시작노드 ID","종료노드 ID","링크 길이","시군구코드","시군구명","읍면동코드","읍면동명"
"LINK","","0","","LINESTRING(126.91065068088403 37.57572841408797,126.91080800198696 37.57569144349583)","198687","1000","183801","183808","14.4900","1141000000","서대문구","1141011900","북가좌동"
"NODE","POINT(126.94887076883624 37.58461240657942)","23987","0","","0","","","","","1141000000","서대문구","1141011100","홍제동"
"NODE","POINT(126.9311249896042 37.56692232589392)","52126","0","","0","","","","","1141000000","서대문구","1141011700","연희동"
"LINK","","0","","LINESTRING(126.9260651583022 37.57555970999766,126.9264387497964 37.575770487748024)","48482","1000","104187","104179","40.4520","1141000000","서대문구","1141012000","남가좌동"
"LINK","","0","","LINESTRING(126.9445966534364 37.588452260309325,126.9442513543574 37.58871298910857)","84900","1000","213882","213809","42.0410","1141000000","서대문구","1141011100","홍제동"
"LINK","","0","","LINESTRING(126.912450177377 37.58108920131634,126.91218793789538 37.581167821773)","275523","1000","149637","151604","24.7530","1141000000","서대문구","1141011900","북가좌동"
"NODE","POINT(126.92621428483827 37.57595800676178)","104188","0","","0","","","","","1141000000","서대문구","1141012000","남가좌동"
"LINK","","0","","LINESTRING(126.9592595056998 37.571082111455894,126.9594262451501 37.57112336237943)","67441","1000","98817","72172","15.4250","1141000000","서대문구","1141010800","영천동"
"NODE","POINT(126.94700395211274 37.586415890365785)","172655","0","","0","","","","","1141000000","서대문구","1141011100","홍제동"
"LINK","","0","","LINESTRING(126.92734901141561 37.565038891433694,126.92744685359864 37.564942833348404)","88841","1000","54832","121257","13.7250","1141000000","서대문구","1141011700","연희동"
"NODE","POINT(126.94672441764489 37.58626277034444)","172656","0","","0","","","","","1141000000","서대문구","1141011100","홍제동"
"LINK","","0","","LINESTRING(126.95175907452752 37.58055714151058,126.95191445083736 37.58040845083964)","117356","1000","213889","213759","21.4640","1141000000","서대문구","1141011100","홍제동"
"NODE","POINT(126.94624389892549 37.59419970023462)","170156","0","","0","","","","","1141000000","서대문구","1141011800","홍은동"
"NODE","POINT(126.94677381443222 37.59461719669433)","168197","0","","0","","","","","1141000000","서대문구","1141011800","홍은동"
"LINK","","0","","LINESTRING(126.96371929910596 37.564428523593804,126.96364993687983 37.56457987738958)","86954","1000","77976","77977","17.8810","1141000000","서대문구","1141010100","충정로2가"
"NODE","POINT(126.94526080428027 37.58805630498925)","172673","2","","0","","","","","1141000000","서대문구","1141011100","홍제동"
"LINK","","0","","LINESTRING(126.95217276516256 37.55721533362555,126.95269078962515 37.55723938121373)","153482","1000","84465","84466","45.8490","1141000000","서대문구","1141011000","북아현동"
"LINK","","0","","LINESTRING(126.9639089705858 37.564584201793565,126.96404698376583 37.564552204477636)","194373","1000","77978","77970","12.7000","1141000000","서대문구","1141010100","충정로2가"
"NODE","POINT(126.9633438491462 37.56791154987505)","77473","0","","0","","","","","1141000000","서대문구","1141010500","냉천동"
"NODE","POINT(126.94648545012308 37.56639925962853)","46549","0","","0","","","","","1141000000","서대문구","1141011300","대신동"
"LINK","","0","","LINESTRING(126.95651017218287 37.56024658500813,126.95639640804373 37.56018749351711)","157523","1000","83505","83506","12.0020","1141000000","서대문구","1141011000","북아현동"
"NODE","POINT(126.91762715287057 37.57052197308729)","80401","0","","0","","","","","1141000000","서대문구","1141012000","남가좌동"
"NODE","POINT(126.94467351099198 37.58855120652645)","172685","0","","0","","","","","1141000000","서대문구","1141011100","홍제동"
"NODE","POINT(126.94818211366827 37.585260546138535)","172708","0","","0","","","","","1141000000","서대문구","1141011100","홍제동"
"NODE","POINT(126.91836443803534 37.57004570862598)","80402","0","","0","","","","","1141000000","서대문구","1141012000","남가좌동"
